dynasty,period,book_name,author,full_book_info,variant,count,total_chars,frequency_per_10k,file_count,recalc_freq_per_10k
元,元代,三洞讚頌靈章,元,三洞讚頌靈章 (元),輩,2,13205,1.2664647636974997,4,1.5145778114350623
元,元代,三洞讚頌靈章,元,三洞讚頌靈章 (元),門,9,13205,5.375867160383532,4,6.81560015145778
元,元代,三要達道篇,元,三要達道篇 (元),們,0,507,0.0,1,0.0
元,元代,三要達道篇,元,三要達道篇 (元),偉,0,507,0.0,1,0.0
元,元代,三要達道篇,元,三要達道篇 (元),弭,0,507,0.0,1,0.0
元,元代,三要達道篇,元,三要達道篇 (元),彌,0,507,0.0,1,0.0
元,元代,三要達道篇,元,三要達道篇 (元),懣,0,507,0.0,1,0.0
元,元代,三要達道篇,元,三要達道篇 (元),每,0,507,0.0,1,0.0
元,元代,三要達道篇,元,三要達道篇 (元),滿,0,507,0.0,1,0.0
元,元代,三要達道篇,元,三要達道篇 (元),瞞,0,507,0.0,1,0.0
元,元代,三要達道篇,元,三要達道篇 (元),輩,0,507,0.0,1,0.0
元,元代,三要達道篇,元,三要達道篇 (元),門,0,507,0.0,1,0.0
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,們,0,1809,0.0,1,0.0
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,偉,0,1809,0.0,1,0.0
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,弭,0,1809,0.0,1,0.0
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,彌,1,1809,5.527915975677169,1,5.527915975677169
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,懣,0,1809,0.0,1,0.0
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,每,0,1809,0.0,1,0.0
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,滿,0,1809,0.0,1,0.0
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,瞞,0,1809,0.0,1,0.0
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,輩,0,1809,0.0,1,0.0
元,元代,上方大洞真元圖書繼說終篇,,上方大洞真元圖書繼說終篇,門,1,1809,5.527915975677169,1,5.527915975677169
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,們,0,2334,0.0,1,0.0
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,偉,0,2334,0.0,1,0.0
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,弭,0,2334,0.0,1,0.0
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,彌,2,2334,8.56898029134533,1,8.56898029134533
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,懣,0,2334,0.0,1,0.0
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,每,0,2334,0.0,1,0.0
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,滿,1,2334,4.284490145672665,1,4.284490145672665
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,瞞,0,2334,0.0,1,0.0
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,輩,0,2334,0.0,1,0.0
元,元代,上方大洞真元妙經圖,,上方大洞真元妙經圖,門,1,2334,4.284490145672665,1,4.284490145672665
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,們,0,3381,0.0,1,0.0
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,偉,0,3381,0.0,1,0.0
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,弭,0,3381,0.0,1,0.0
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,彌,0,3381,0.0,1,0.0
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,懣,0,3381,0.0,1,0.0
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,每,1,3381,2.957704821058858,1,2.957704821058858
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,滿,1,3381,2.957704821058858,1,2.957704821058858
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,瞞,0,3381,0.0,1,0.0
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,輩,0,3381,0.0,1,0.0
元,元代,上方大洞真元陰陽陟降圖書後解,,上方大洞真元陰陽陟降圖書後解,門,0,3381,0.0,1,0.0
