dynasty,period,book_name,author,full_book_info,total_chars,file_count,unique_variants_found
元,元代,元陽子五假論,,元陽子五假論,13350,10,10
元,元代,元陽子金液集,,元陽子金液集,42450,10,10
元,元代,元音遺響,元,元音遺響 (元),866290,110,10
元,元代,元風雅,元,元風雅 (元),742960,70,10
元,元代,內丹還元訣,元,內丹還元訣 (元),8160,10,10
元,元代,內外傷辯惑論,元,內外傷辯惑論 (元),203970,40,10
元,元代,全真坐鉢捷法,元,全真坐鉢捷法 (元),9120,10,10
元,元代,兩朝綱目備要,元,兩朝綱目備要 (元),1457920,170,10
元,元代,六書統,楊桓,六書統 (楊桓),2750530,210,10
元,元代,六根歸道論,元,六根歸道論 (元),7330,10,10
元,元代,六祖大師法寶壇經,宗寶,六祖大師法寶壇經 (宗寶),327870,10,10
元,元代,六藝綱目,舒天民,六藝綱目 (舒天民),351920,60,10
元,元代,初學記,清覺,初學記 (清覺),136250,10,10
元,元代,剡源文集,元,剡源文集 (元),2309730,310,10
元,元代,剩語,元,剩語 (元),151270,30,10
元,元代,勅修百丈清規,德煇,勅修百丈清規 (德煇),828260,80,10
元,元代,勤有堂隨錄,元,勤有堂隨錄 (元),29200,20,10
元,元代,勤齋集,元,勤齋集 (元),437260,90,10
元,元代,北斗七元星燈儀,,北斗七元星燈儀,18770,10,10
元,元代,北斗七元金玄羽章,,北斗七元金玄羽章,20860,10,10
元,元代,北軒筆記,元,北軒筆記 (元),104560,20,10
元,元代,十一經問對,元,十一經問對 (元),465370,60,10
元,元代,十七史纂古今通要,元,十七史纂古今通要 (元),1929120,180,10
元,元代,十八史略,曾先之,十八史略 (曾先之),2873920,80,10
元,元代,千巖和尚語錄,元長,千巖和尚語錄 (元長),479160,10,10
元,元代,午溪集,元,午溪集 (元),298370,110,10
元,元代,南湖集,貢性之,南湖集 (貢性之),634960,110,10
元,元代,南華真經章句音義,陳景元,南華真經章句音義 (陳景元),507200,150,10
元,元代,南華真經章句餘事,陳景元,南華真經章句餘事 (陳景元),52050,10,10
元,元代,南華真經餘事雜錄,陳景元,南華真經餘事雜錄 (陳景元),74000,10,10
元,元代,友石山人遺稿,元,友石山人遺稿 (元),58500,20,10
元,元代,古今韻會擧要,黃公紹,古今韻會擧要 (黃公紹),6671220,300,10
元,元代,古林清茂禪師語錄,元浩,古林清茂禪師語錄 (元浩),918430,50,10
元,元代,古樂府,元,古樂府 (元),732670,110,10
元,元代,古賦辯體,元,古賦辯體 (元),934680,120,10
元,元代,句曲外史集,元,句曲外史集 (元),327810,80,10
元,元代,可閒老人集,元,可閒老人集 (元),566190,50,10
元,元代,吳中舊事,元,吳中舊事 (元),92030,20,10
元,元代,吳文正集,元,吳文正集 (元),5455560,1030,10
元,元代,吾吾類稿,元,吾吾類稿 (元),212210,40,10
元,元代,周官集傳,元,周官集傳 (元),1304570,170,10
元,元代,周易參同契分章註,陳致虛,周易參同契分章註 (陳致虛),371530,40,10
元,元代,周易參義,元,周易參義 (元),1207690,130,10
元,元代,周易啟蒙翼傳,元,周易啟蒙翼傳 (元),1243640,50,10
元,元代,周易圖說,元,周易圖說 (元),109550,40,10
元,元代,周易文詮,元,周易文詮 (元),1224380,50,10
元,元代,周易會通,元,周易會通 (元),7005610,170,10
元,元代,周易本義通釋,元,周易本義通釋 (元),1430700,130,10
元,元代,周易本義集成,元,周易本義集成 (元),2679310,130,10
元,元代,周易爻變易縕,元,周易爻變易縕 (元),1074100,90,10
元,元代,周易程朱傳義折衷,元,周易程朱傳義折衷 (元),2444530,340,10
元,元代,周易衍義,元,周易衍義 (元),2464320,170,10
元,元代,周易集傳,元,周易集傳 (元),981180,90,10
元,元代,周秦刻石釋音,吾丘衍,周秦刻石釋音 (吾丘衍),83140,20,10
元,元代,唐才子傳,元,唐才子傳 (元),513950,90,10
元,元代,唐音,元,唐音 (元),1924340,150,10
元,元代,唯識開蒙問答,雲峯,唯識開蒙問答 (雲峯),824300,20,10
元,元代,四教儀備釋,元粹,四教儀備釋 (元粹),401750,20,10
元,元代,四教儀集註科,蒙潤,四教儀集註科 (蒙潤),51330,10,10
元,元代,四書疑節,袁俊翁,四書疑節 (袁俊翁),839800,130,10
元,元代,四書管窺,史伯璿,四書管窺 (史伯璿),1674980,90,10
元,元代,四書經疑貫通,王充耘,四書經疑貫通 (王充耘),369590,90,10
元,元代,四書纂箋,詹道傳,四書纂箋 (詹道傳),3161030,290,10
元,元代,四書辨疑,陳天祥,四書辨疑 (陳天祥),1075370,160,10
元,元代,四書通,胡炳文,四書通 (胡炳文),5156790,280,10
元,元代,四書通旨,朱公遷,四書通旨 (朱公遷),923450,70,10
元,元代,四書通證,張存中,四書通證 (張存中),632970,50,10
元,元代,四書集義精要,劉因,四書集義精要 (劉因),1083260,290,10
元,元代,困學齋雜錄,元,困學齋雜錄 (元),88970,20,10
