dynasty,period,variant,count,recalc_freq_per_10k,num_books,total_chars
明初期,明代,懣,0,0.0,3,29946
明初期,明代,每,1,0.25958518287776133,3,29946
明初期,明代,滿,4,1.0383407315110453,3,29946
明初期,明代,瞞,0,0.0,3,29946
明初期,明代,輩,0,0.0,3,29946
明初期,明代,門,16,6.848933478079194,3,29946
清,清代,們,1114,0.05173006900770473,1139,290586699
清,清代,偉,4956,0.10983356027124505,1139,290586699
清,清代,弭,1537,0.03354505244384274,1139,290586699
清,清代,彌,9121,0.4562544527235557,1139,290586699
清,清代,懣,238,0.003457331917398356,1139,290586699
清,清代,每,49681,1.2712058286743357,1139,290586699
清,清代,滿,33129,1.0948197663735384,1139,290586699
清,清代,瞞,1191,0.13585636214033486,1139,290586699
清,清代,輩,19809,0.8273893925134527,1139,290586699
清,清代,門,101501,4.1719075747101595,1139,290586699
