variant,total_count,percentage_of_total,frequency_per_10k_chars,average_frequency_across_files,files_found_in,most_common_preceding,most_common_following,total_contexts
們,0,0.0,0.0,0.0,1,,,0
偉,0,0.0,0.0,0.0,1,,,0
弭,0,0.0,0.0,0.0,1,,,0
彌,0,0.0,0.0,0.0,1,意 (1),年 (1),1
懣,0,0.0,0.0,0.0,1,,,0
每,1,25.0,1.5271838729383018,1.5271838729383018,1,家 (1),三 (1),1
滿,3,75.0,4.581551618814905,4.581551618814905,1,須 (2),三 (1),10
瞞,0,0.0,0.0,0.0,1,,,0
輩,0,0.0,0.0,0.0,1,,,0
門,0,0.0,0.0,0.0,1,午 (2),侍 (1),5
