variant,count,percentage
們,0,0.0
弭,36,0.7101992503452358
彌,173,3.4129019530479385
偉,18,0.3550996251726179
懣,1,0.019727756954034326
滿,337,6.648254093509568
瞞,2,0.03945551390806865
門,3742,73.82126652199645
每,532,10.495166699546262
輩,228,4.497928585519826
